name,longitude,latitude,transport_modes
"Aeschiried, Fuchsgraben",7.7467426048,46.6299290905,BUS
"Aeschiried, Kapelle",7.72125046299,46.64693373238,BUS
"Aeschiried, Schulhaus",7.72408784347,46.64500162164,BUS
"Aeschiried, Staldeweid",7.73860511367,46.63423266858,BUS
"Aeschiried, Suld Pochtenfall",7.76445486822,46.62215267204,BUS
"Aeschiried, untere Allmi",7.73502915563,46.63703064247,BUS
"Aeschlen b. O., Abzw. Bleiken",7.63079151127,46.83410135548,BUS
"Aeschlen b. O., Bareichte",7.66685307315,46.83780436924,BUS
"Aeschlen b. O., Dorf",7.64190433448,46.83694274179,BUS
"Aeschlen b. O., Langenegg",7.65852626541,46.83774281477,BUS
"Aeschlen ob Gunten, Dorf",7.69827056689,46.71981620501,BUS
"Aeschlen ob Gunten, Erliboden",7.70533804062,46.72069949973,BUS
"Aeschlen ob Gunten, Mattikehr",7.69720109648,46.71772267236,BUS
"Aeschlen ob Gunten, Panorama",7.7007718405,46.71977149473,BUS
"Aetigkofen, Dorf",7.46629199984,47.1256910039,BUS
"Aetingen, Fröscheren",7.4959423463,47.12344056405,BUS
"Aetingen, Post",7.50509440899,47.13196392205,BUS
"Aetingen, Schulhaus",7.50211691225,47.12948191221,BUS
"Aettenschwil, Oberdorf",8.37127092964,47.1829766663,BUS
"Aettenschwil, Post",8.37182214623,47.18432150395,BUS
"Aeugst a.A., Dorf",8.48534528604,47.26783029246,BUS
"Aeugst a.A., Grossacher",8.49120527024,47.26610380361,BUS
"Aeugst a.A., Höchweg",8.48064706272,47.27086829644,BUS
"Aeugstertal, Kloster",8.48685797271,47.28430496103,BUS
"Aeugstertal, Landhus",8.5006508019,47.2799059835,BUS
"Aeugstertal, Müliberg",8.47853604451,47.28123195492,BUS
Aeusseres Emdthal,7.67932511228,46.65966850806,BUS
"Affeltrangen, Dorf",9.03168289029,47.52704672842,BUS
"Affoltern a.A., Bahnhof",8.44660354394,47.27581251067,BUS
"Affoltern a.A., Bezirksspital",8.45743,47.28063,BUS
"Affoltern a.A., Blitzgbach",8.45310582187,47.28552433067,BUS
"Affoltern a.A., Friedhof",8.44649500436,47.28266783769,BUS
"Affoltern a.A., Kronenplatz",8.45353290407,47.28112052671,BUS
"Affoltern a.A., Lilienberg",8.46595373314,47.27857419155,BUS
"Affoltern a.A., Lindenmoos",8.44411698223,47.27080587148,BUS
"Affoltern a.A., Moosbach",8.43985808859,47.27274093361,BUS
"Affoltern a.A., Stigeli",8.45910477487,47.27846409731,BUS
"Affoltern a.A., Weinberg",8.461310493,47.27975786519,BUS
"Affoltern i.E., Bannholz",7.72480941319,47.06594619118,BUS
"Affoltern i.E., Dorf",7.73142448586,47.06473321718,BUS
"Affoltern-Weier, Bahnhof",7.74969563626,47.06235557291,BUS
"Agarn, Dorf",7.66385214507,46.29749115173,BUS
"Agarone, Bivio per Cugnasco",8.90995965093,46.17909042469,BUS
"Agarone, Chiossette",8.90257381032,46.17849363569,BUS
"Agarone, Colletto",8.91173913477,46.18071370922,BUS
"Agarone, Paese",8.90601785459,46.17844893364,BUS
"Agarone, Piandesso",8.89931102637,46.17853588807,BUS
"Agarone, Roccolo",8.91029509937,46.1804806163,BUS
"Agarone, Ronco Morasci",8.91255940051,46.17943440285,BUS
"Agarone, i Lög",8.91339998376,46.17986429012,BUS
Agasul,8.74430565107,47.42517416496,BUS
"Agiez, L'Epine",6.50788722605,46.71582551026,BUS
